OK;OK
YES;YES
NO;NO
LANGUAGE;language:
LANGUAGE_en;english
LANGUAGE_ru;русский
ADD_IMAGES;Add images
ADD_IMAGES_TITLE;Add images
ADD_ZIP;Add ZIP
ADD_ZIP_TITLE;Add zipped images
IMAGE_DROP_HELP;or drag'n'drop images here
CLEAR;Clear
CLEAR_TITLE;Clear all images
DISPLAY_OUTLINES;Display outlines:
SHOW_SPRITES;Show sprites
SPRITE_NAME;Sprite name:
ANIMATION_SPEED;Animation speed:
TEXTURE_NAME;Texture name:
TEXTURE_NAME_TITLE;Texture name for export
TEXTURE_FORMAT;Texture format:
TEXTURE_FORMAT_TITLE;Texture format for export
REMOVE_FILE_EXT;Remove file ext:
REMOVE_FILE_EXT_TITLE;Remove file ext in sprites name
PREPEND_FOLDER;Prepend folder name:
PREPEND_FOLDER_TITLE;Prepend folder name to file name
BASE64_EXPORT_TITLE;Export to base64 format (if possible)
BASE64_EXPORT;Export to base64
TINIFY_TITLE;Tinify using https://tinypng.com
TINIFY;Tinify
TINIFY_KEY_TITLE;TinyPNG key https://tinypng.com/developers 
TINIFY_KEY;TinyPNG key
SCALE;Scale:
SCALE_TITLE;Base texture scale
FILTER;Filter:
FILTER_TITLE;Filter for result texture
FORMAT;Format:
FORMAT_TITLE;Export format
FILE_NAME;File name:
FILE_NAME_TITLE;Result file name
WIDTH;Width:
WIDTH_TITLE;Max texture width
HEIGHT;Height:
HEIGHT_TITLE;Max texture height
FIXED_SIZE;Fixed size:
FIXED_SIZE_TITLE;Fixed texture size
PADDING;Padding:
PADDING_TITLE;Sprites padding
ALLOW_ROTATION;Allow rotation:
ALLOW_ROTATION_TITLE;Allow sprites rotation
ALLOW_TRIM;Allow trim:
ALLOW_TRIM_TITLE;Allow sprites trim
DETECT_IDENTICAL;Detect identical:
DETECT_IDENTICAL_TITLE;Detect identical sprites
PACKER;Packer:
PACKER_TITLE;Packer
PACKER_METHOD;Method:
PACKER_METHOD_TITLE;Packer method
EXPORT;Export
PLEASE_WAIT;Please, wait...
INVALID_SIZE_ERROR;Invalid size. Min: %sx%s
NO_IMAGES_ERROR;Please, add images first
CLEAR_WARNING;Realy clear all images?
INVALID_ZIP_ERROR;Invalid zip file
NO_TINIFY_KEY_ERROR;Please, set your TinyPNG key https://tinypng.com/developers
TINIFY_ERROR;Tinify error: %s
TINIFY_ERROR_COMMON;Tinify error...
OLD_BROWSER_MESSAGE1;Sorry, but your browser is too old for this application...
OLD_BROWSER_MESSAGE2;Please, use one of modern browsers:
ABOUT_SOURCES;Sources:
ABOUT_BUGS;Bugtracker:
ABOUT_LIBS;Used libs:
ABOUT_GULP_VERSION;Gulp module:
