OK;OK
YES;YES
NO;NO
CANCEL;CANCEL
SAVE;SAVE
IMAGES;Images
LANGUAGE;language:
LANGUAGE_en;english
LANGUAGE_ru;русский
ADD_IMAGES;Add images
ADD_IMAGES_TITLE;Add images
ADD_FOLDER;Add folder
ADD_FOLDER_TITLE;Add folder
ADD_ZIP;Add ZIP
ADD_ZIP_TITLE;Add zipped images
IMAGE_DROP_HELP;or drag'n'drop images here
CLEAR;Clear
CLEAR_TITLE;Clear all images
DELETE;Delete
DELETE_TITLE;Delete selected images
DISPLAY_OUTLINES;Outlines:
SCALE;Scale:
SHOW_SPRITES;Show sprites
SPRITE_NAME;Sprite name:
ANIMATION_SPEED;Animation speed:
TEXTURE_NAME;Texture name:
TEXTURE_NAME_TITLE;Texture name for export
TEXTURE_FORMAT;Texture format:
TEXTURE_FORMAT_TITLE;Texture format for export
REMOVE_FILE_EXT;Remove file ext:
REMOVE_FILE_EXT_TITLE;Remove file ext in sprites name
PREPEND_FOLDER;Prepend folder name:
PREPEND_FOLDER_TITLE;Prepend folder name to file name
BASE64_EXPORT_TITLE;Export to base64 format (if possible)
BASE64_EXPORT;Export to base64
TINIFY_TITLE;Tinify using https://tinypng.com
TINIFY;Tinify
TINIFY_KEY_TITLE;TinyPNG key https://tinypng.com/developers 
TINIFY_KEY;TinyPNG key
SCALE;Scale:
SCALE_TITLE;Base texture scale
FILTER;Filter:
FILTER_TITLE;Filter for result texture
FORMAT;Format:
FORMAT_TITLE;Export format
FILE_NAME;File name:
FILE_NAME_TITLE;Result file name
WIDTH;Width:
WIDTH_TITLE;Max texture width
HEIGHT;Height:
HEIGHT_TITLE;Max texture height
FIXED_SIZE;Fixed size:
POWER_OF_TWO;Power of two:
POWER_OF_TWO_TITLE;Power of two texture size 
FIXED_SIZE_TITLE;Fixed texture size
PADDING;Padding:
PADDING_TITLE;Sprites padding
ALLOW_ROTATION;Allow rotation:
ALLOW_ROTATION_TITLE;Allow sprites rotation
ALLOW_TRIM;Allow trim:
ALLOW_TRIM_TITLE;Allow sprites trim
DETECT_IDENTICAL;Detect identical:
DETECT_IDENTICAL_TITLE;Detect identical sprites
PACKER;Packer:
PACKER_TITLE;Packer
PACKER_METHOD;Method:
PACKER_METHOD_TITLE;Packer method
EXPORT;Export
PLEASE_WAIT;Please, wait...
INVALID_SIZE_ERROR;Invalid size. Min: %sx%s
NO_IMAGES_ERROR;Please, add images first
CLEAR_WARNING;Realy clear all images?
INVALID_ZIP_ERROR;Invalid zip file
NO_TINIFY_KEY_ERROR;Please, set your TinyPNG key https://tinypng.com/developers
TINIFY_ERROR;Tinify error: %s
TINIFY_ERROR_COMMON;Tinify error...
OLD_BROWSER_MESSAGE1;Sorry, but your browser is too old for this application...
OLD_BROWSER_MESSAGE2;Please, use one of modern browsers:
ABOUT_SOURCES;Sources:
ABOUT_BUGS;Bugtracker:
ABOUT_APPS;Download app:
ABOUT_WEB;Web version:
ABOUT_LIBS;Used libs:
ABOUT_GULP_VERSION;Gulp module:
ABOUT_WEBPACK_VERSION;Webpack plugin:
EXPORTER_ERROR;Export error: %s
CUSTOM_EXPORTER_ERROR;Template error: %s
FILE_EXT;File extension:
DOCUMENTATION;documentation
SAVE_CHANGES_CONFIRM;Save project changes?
MENU_FILE;File
MENU_FILE_PROJECT_NEW;New project
MENU_FILE_PROJECT_LOAD;Open project
MENU_FILE_PROJECT_LOAD_RECENT;Open recent
MENU_FILE_PROJECT_SAVE;Save project
MENU_FILE_PROJECT_SAVE_AS;Save project as...
MENU_FILE_PREFERENCES_SAVE;Save preferences
MENU_FILE_EXIT;Exit
MENU_ACTIONS;Actions
MENU_ACTIONS_ADD_IMAGES;Add images
MENU_ACTIONS_ADD_FOLDER;Add folder
MENU_ACTIONS_SELECT_ALL;Select all
MENU_ACTIONS_DELETE;Delete
MENU_ACTIONS_CLEAR;Clear
MENU_ACTIONS_EXPORT;Export
MENU_LANGUAGE;Language
MENU_HELP;Help
MENU_HELP_ABOUT;About
