OK;OK
YES;ДА
NO;НЕТ
CANCEL;ОТМЕНА
SAVE;СОХРАНИТЬ
IMAGES;Изображения
LANGUAGE;язык:
ADD_IMAGES;Добавить
ADD_IMAGES_TITLE;Добавить изображения
ADD_FOLDER;Добавить папку
ADD_FOLDER_TITLE;Добавить папку
ADD_ZIP;Добавить ZIP
ADD_ZIP_TITLE;Добавить упакованные изображения
IMAGE_DROP_HELP;или перетяните изображения сюда
CLEAR;Очистить
CLEAR_TITLE;Очистить все изображения
DELETE;Удалить
DELETE_TITLE;Удалить выбранные изображения
REPLACE_FILES_PROMPT;Перезаписать существующие файлы?
DISPLAY_OUTLINES;Контуры:
SCALE;Масштаб:
SHOW_SPRITES;Анимации
SPRITE_NAME;Название спрайта:
ANIMATION_SPEED;Скорость анимации:
TEXTURE_NAME;Имя текстуры:
TEXTURE_NAME_TITLE;Имя, которое будет использоваться для именования отдельных файлов
TEXTURE_FORMAT;Формат текстуры:
TEXTURE_FORMAT_TITLE;Формат, в котором будет сохранена текстура
REMOVE_FILE_EXT;Удалить расширение:
REMOVE_FILE_EXT_TITLE;Удаляет расширения файла при экспорте
PREPEND_FOLDER;Добавить путь:
PREPEND_FOLDER_TITLE;Добавить путь к имени файла
BASE64_EXPORT_TITLE;Экспортировать в формате base64 (при возможности)
BASE64_EXPORT;Экспортировать в base64
TINIFY_TITLE;Оптимизировать, используя TinyPNG https://tinypng.com
TINIFY;Оптимизировать TinyPNG
TINIFY_KEY_TITLE;Ключ TinyPNG https://tinypng.com/developers 
TINIFY_KEY;Ключ TinyPNG
DISABLE_SMOOTHING;Отключить сглаживание
DISABLE_SMOOTHING_TITLE;Отключить сглаживание изображения
SCALE;Масштаб:
SCALE_TITLE;Текущий масштаб текстуры. Влияет на пересчет размеров и координат при экспорте
FILTER;Фильтр:
FILTER_TITLE;Фильтр, который будет применен к текстуре
FORMAT;Формат:
FORMAT_TITLE;Формат экспорта
FILE_NAME;Имя файла:
FILE_NAME_TITLE;Имя результирующего файла
SAVE_PATH;Путь для сохранения
SAVE_PATH_TITLE;Путь для сохранения результатов упаковки
WIDTH;Ширина:
WIDTH_TITLE;Максимальная ширина текстуры
HEIGHT;Высота:
